VM,Technique,Prediction,Confidence,Inference_mean_ms,Inference_std_ms,CPU_percent,RAM_mb
VM1,baseline,COVID,0.9971,129.18,63.69,0.0,292.6
VM1,q1_dynamic,COVID,0.9961,121.15,29.63,0.0,296.5
VM1,q2_ptq,COVID,0.9963,112.52,25.89,0.2,300.9
VM1,q3_qat,COVID,0.9972,110.53,44.52,0.5,299.1
VM1,q4_weightonly,COVID,0.9969,97.1,14.11,0.5,297.3
VM1,q5_mixed,COVID,0.9971,114.9,25.22,5.6,295.6
VM1,p1_unstructured,COVID,0.9994,89.49,17.15,0.5,296.6
VM1,p2_structured,COVID,1.0,96.25,14.99,0.0,290.9
VM1,p3_magnitude,COVID,0.9969,93.35,29.77,0.2,298.8
VM2,baseline,COVID,0.9955,50.06,8.2,0.0,293.1
VM2,q1_dynamic,COVID,0.9964,45.09,4.79,0.0,302.6
VM2,q2_ptq,COVID,0.9964,43.36,5.77,0.0,302.4
VM2,q3_qat,COVID,0.9984,44.08,5.17,0.0,295.6
VM2,q4_weightonly,COVID,0.9962,45.37,5.02,0.2,296.7
VM2,q5_mixed,COVID,0.9966,49.48,7.56,0.0,297.2
VM2,p1_unstructured,COVID,0.9995,45.58,7.97,0.0,293.2
VM2,p2_structured,COVID,1.0,45.09,5.77,0.0,295.8
VM2,p3_magnitude,COVID,0.9973,49.99,8.38,0.5,294.9
VM3,baseline,COVID,0.9975,48.54,7.85,0.0,294.2
VM3,q1_dynamic,COVID,0.9969,43.75,5.0,3.7,298.1
VM3,q2_ptq,COVID,0.9972,45.49,5.55,1.2,300.9
VM3,q3_qat,COVID,0.9983,44.54,5.58,0.0,300.8
VM3,q4_weightonly,COVID,0.9976,43.74,5.36,0.8,293.9
VM3,q5_mixed,COVID,0.9965,44.72,4.83,0.0,301.0
VM3,p1_unstructured,COVID,0.9994,44.85,5.88,1.2,294.7
VM3,p2_structured,COVID,1.0,43.92,6.51,0.7,300.4
VM3,p3_magnitude,COVID,0.9982,41.97,6.05,0.5,298.4
